folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg,ITC Noodles VIEWDETAILS BESTSELLER SunfeastYippee!WowMasala Noodles,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg,Mood Masala Noodles,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg,ITC Noodles,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg,SunfeastYippee!WowMasala,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM (1).jpeg,SunfeastYippee!Mood Masala,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,CakerSwissRoll,75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,pc CAKER SViSSROtL 8.76 14.1% margin 8.94 11.9% margin GOLD FREEDELIVERY MRP #10.0 VIEWDET BESTSELLER Bingo!NoRulzCurlz,21.6g,5.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,Masala,17.3g,,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,ITCChips&Snacks,75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,BINGO!,75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,"Bingo!TedheMedhe,Xtraa",75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,SunfeastCakerSwissRoll,75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,Sunfeast,75g,20,
ITC,WhatsApp Image 2026-04-18 at 10.17.09 AM.jpeg,"Bingo!NoRulzCurlz,Masala",17.3g,,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg,Chocolates&Ch... BESTSELLER Jelimals Tasty Sparkles,10g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg,ITCChocolates&Ch,10g,5,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (1).jpeg,SunfeastFantastikChocg,350g,100,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM (2).jpeg,ITC Agarbatti,14g,10.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,Chocolates&Ch... CDark SunfeastDarkFantasyChoco Fantasy Rolls,180g,177,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,VIEWDETAILS SunfeastFantastikFruit'N'Nut Chocolate,180g,177,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,VIEWDETAILS BESTSELLER CandymanCremeLacto,34g,50,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,CaNDYMaN PRICE/pc 195.75 9.8% margin,855g,50.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,ITCChocolates&Ch,180g,177,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,SunfeastDarkFantasyChoco,180g,177,
ITC,WhatsApp Image 2026-04-18 at 10.17.10 AM.jpeg,SunfeastFantastikFruit'N'Nut,180g,177,
ITC,WhatsApp Image 2026-04-18 at 10.17.11 AM (1).jpeg,ITCAgarbatti,14g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,ITC Noodles SunfeastYippee!MagicMasala Noodles,420g,15.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,WowMasala Noodles,50g,15.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,Mood Noodles,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,ITC Noodles,420g,15.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,SunfeastYippee!MagicMasala,420g,15.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,SunfeastYippee!WowMasala,50g,15.0,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (1).jpeg,SunfeastYippee!Mood,50g,10,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM (2).jpeg,ITCAgarbatti,,18,
ITC,WhatsApp Image 2026-04-18 at 10.17.12 AM.jpeg,ITCStationery Items,,48,
