folder,image_file,name_ocr,weight_ocr,mrp_ocr,offer_price_ocr
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,VIEWDETAILS LavianCakkiesMixedFr Cake,11g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,Lavian,36 L,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,"Lavian Orange Fills Candy, 185g",36 L,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,Laviany,36 L,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,Lavian Fruity Blast Lollipops,110g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM (2).jpeg,LavianCakkiesMixedFr,11g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,Lavian BESTSELLER LavianEclairs,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,Lavian MRP?50ICase size48 ECLAIR BEST PRICE/pc 35.01 42.8% margin ? GOLD FREEDELIVERY BULKOFFER MRP 50.0 VIEWDETAILS BESTSELLER LavianWaferroRollsChocofillz WaferSticks,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,WAFERRO ROLLS BEST PRICE/pc 84.9 47.2% margin GOLD FREEDELIVERY BULKOFFER MRP 125.0 VIEWDETAILS BESTSELLER LavianMangoFillsCand Pack(50Pcs x3.7g) Lavian MRP50|Casesize48 Mang Fillo BEST PRICE/pc,287.5g,125,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,Lavian,36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,"LavianEclairs,160gPack",36 L,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,LavianWaferroRollsChocofillz,287.5g,50.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.42 PM.jpeg,LavianMangoFillsCand,3.7g,125.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,Lavian BESTSELLER Lavian Mango Fills Candy,185g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,Laviany MRP50|Casesize48 Mang Fills BESTPRICE/pc 39.44 26.8% margin GOLDFREEDELIVERY BULKOFFER MRP 50.0 VIEWDETAILS BESTSELLER LavianBanarasiPanFlavoured Candy,185g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,VIEWDETAILS LavianJellyto'sYummy Jellytos Jelly,760g,200.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,Lavian,185g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,"Lavian Mango Fills Candy, 185g",185g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,Laviany,185g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,LavianBanarasiPanFlavoured,760g,50,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM (1).jpeg,LavianJellyto'sYummy,3.8g,200.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,Lavian LavianJellyto'sYummyBears Jellytos Jelly,30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,VIEWDETAILS Chokito Lavian Chokito Krunchy Choco CoatedWafers,30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,VIEWDETAILS BESTSELLER LavianChokitoChocolate Carmael,504g,240.0,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,Lavian,30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,LavianJellyto'sYummyBears,30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,Lavian Chokito Krunchy Choco,30g,10,
Lavion-2,WhatsApp Image 2026-04-19 at 4.13.43 PM.jpeg,LavianChokitoChocolate,504g,240.0,
